legacy_id,standard_id,title,submitter,category
"217-1","SC001","所得税法等の一部を改正する法律案","議員","税制"
"217-2","SC002","地方税法及び地方税法等の一部を改正する法律の一部を改正する法律案","議員","税制"
"217-3","SC003","地方交付税法等の一部を改正する法律案","議員","税制"
"217-4","SO001","重要電子計算機に対する不正な行為による被害の防止に関する法律案","議員","その他"
"217-5","SO002","重要電子計算機に対する不正な行為による被害の防止に関する法律の施行に伴う関係法律の整備等に関する法律案","議員","その他"
"217-6","SC004","関税定率法等の一部を改正する法律案","議員","税制"
"217-7","SO003","国際開発協会への加盟に伴う措置に関する法律及び米州投資公社への加盟に伴う措置に関する法律の一部を改正する法律案","議員","その他"
"217-8","SO004","大学等における修学の支援に関する法律の一部を改正する法律案","議員","その他"
"217-9","SO005","公立の義務教育諸学校等の教育職員の給与等に関する特別措置法等の一部を改正する法律案","議員","その他"
"217-10","SO006","戦没者等の遺族に対する特別弔慰金支給法の一部を改正する法律案","議員","その他"
"217-11","SO007","情報処理の促進に関する法律及び特別会計に関する法律の一部を改正する法律案","議員","その他"
"217-12","SO008","道路法等の一部を改正する法律案","議員","その他"
"217-13","SO009","港湾法等の一部を改正する法律案","議員","その他"
"217-14","SO010","裁判所職員定員法の一部を改正する法律案","議員","その他"
"217-15","SO011","医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律等の一部を改正する法律案","議員","その他"
"217-16","SO012","防衛省設置法等の一部を改正する法律案","議員","その他"
"217-17","SO013","災害対策基本法等の一部を改正する法律案","議員","その他"
"217-18","SM001","株式会社地域経済活性化支援機構法の一部を改正する法律案","議員","経済・産業"
"217-19","SO014","電波法及び放送法の一部を改正する法律案","議員","その他"
"217-20","SO015","国会議員の選挙等の執行経費の基準に関する法律の一部を改正する法律案","議員","その他"
"217-21","SO016","医療法等の一部を改正する法律案","議員","その他"
"217-22","SO017","土地改良法等の一部を改正する法律案","議員","その他"
"217-23","SO018","独立行政法人国際協力機構法の一部を改正する法律案","議員","その他"
"217-24","SO019","株式会社日本政策投資銀行法の一部を改正する法律案","議員","その他"
"217-25","SO020","特別会計に関する法律の一部を改正する法律案","議員","その他"
"217-26","SO021","漁業災害補償法の一部を改正する法律案","議員","その他"
"217-27","SO022","鳥獣の保護及び管理並びに狩猟の適正化に関する法律の一部を改正する法律案","議員","その他"
"217-28","SM002","脱炭素成長型経済構造への円滑な移行の推進に関する法律及び資源の有効な利用の促進に関する法律の一部を改正する法律案","議員","経済・産業"
"217-29","SO023","人工知能関連技術の研究開発及び活用の推進に関する法律案","議員","その他"
"217-30","SO024","情報通信技術の進展等に対応するための刑事訴訟法等の一部を改正する法律案","議員","その他"
"217-31","SO025","森林経営管理法及び森林法の一部を改正する法律案","議員","その他"
"217-32","SO026","公益通報者保護法の一部を改正する法律案","議員","その他"
"217-33","SO027","円滑な事業再生を図るための事業者の金融機関等に対する債務の調整の手続等に関する法律案","議員","その他"
"217-34","SO028","老朽化マンション等の管理及び再生の円滑化等を図るための建物の区分所有等に関する法律等の一部を改正する法律案","議員","その他"
"217-35","SO029","地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律案","議員","その他"
"217-36","SO030","日本学術会議法案","議員","その他"
"217-37","SC005","保険業法の一部を改正する法律案","議員","社会保障"
"217-38","SO031","信託業法の一部を改正する法律案","議員","その他"
"217-39","SO032","資金決済に関する法律の一部を改正する法律案","議員","その他"
"217-40","SO033","児童福祉法等の一部を改正する法律案","議員","その他"
"217-41","SO034","行政手続における特定の個人を識別するための番号の利用等に関する法律及び住民基本台帳法の一部を改正する法律案","議員","その他"
"217-42","SO035","民事裁判情報の活用の促進に関する法律案","議員","その他"
"217-43","SO036","譲渡担保契約及び所有権留保契約に関する法律案","議員","その他"
"217-44","SO037","譲渡担保契約及び所有権留保契約に関する法律の施行に伴う関係法律の整備等に関する法律案","議員","その他"
"217-45","SO038","食品等の流通の合理化及び取引の適正化に関する法律及び卸売市場法の一部を改正する法律案","議員","その他"
"217-46","SO039","海洋再生可能エネルギー発電設備の整備に係る海域の利用の促進に関する法律の一部を改正する法律案","議員","その他"
"217-47","SO040","風俗営業等の規制及び業務の適正化等に関する法律の一部を改正する法律案","議員","その他"
"217-48","SO041","下請代金支払遅延等防止法及び下請中小企業振興法の一部を改正する法律案","議員","その他"
"217-49","SO042","盗難特定金属製物品の処分の防止等に関する法律案","議員","その他"
"217-50","SO043","労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律案","議員","その他"
"217-51","SO044","環境影響評価法の一部を改正する法律案","議員","その他"
"217-52","SO045","独立行政法人男女共同参画機構法案","議員","その他"
"217-53","SO046","独立行政法人男女共同参画機構法の施行に伴う関係法律の整備等に関する法律案","議員","その他"
"217-54","SO047","電気通信事業法及び日本電信電話株式会社等に関する法律の一部を改正する法律案","議員","その他"
"217-55","SO048","航空法等の一部を改正する法律案","議員","その他"
"217-56","SM003","日本国の自衛隊と我が国以外の締約国の軍隊との間における相互のアクセス及び協力の円滑化に関する日本国と我が国以外の締約国との間の協定の実施に関する法律案","議員","外交・国際"
"217-57","SO049","労働安全衛生法及び作業環境測定法の一部を改正する法律案","議員","その他"
"217-58","SO050","船員法等の一部を改正する法律案","議員","その他"
"217-59","SC006","社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律案","議員","社会保障"
"217-1","SC007","医療保険の被保険者証等の交付等の特例に関する法律案","議員","社会保障"
"217-2","SO051","訪問介護事業者に対する緊急の支援に関する法律案","議員","その他"
"217-3","SO052","介護・障害福祉従事者の人材確保に関する特別措置法案","議員","その他"
"217-4","SO053","政治資金規正法の一部を改正する法律案","議員","その他"
"217-5","SO054","政治資金規正法の一部を改正する法律案","議員","その他"
"217-6","SO055","高等学校等就学支援金の支給に関する法律の一部を改正する法律案","議員","その他"
"217-7","SO056","義務教育諸学校等の施設費の国庫負担等に関する法律の一部を改正する法律案","議員","その他"
"217-8","SC008","健康保険法等の一部を改正する法律案","議員","社会保障"
"217-9","SO057","公職選挙法の一部を改正する法律案","議員","その他"
"217-10","SO058","公職選挙法の一部を改正する法律案","議員","その他"
"217-11","SO059","中小企業正規労働者雇入臨時助成金の支給に関する法律案","議員","その他"
"217-12","SC009","軽油引取税の税率の特例の廃止に関する法律案","議員","税制"
"217-13","SC010","揮発油税及び地方揮発油税の税率の特例の廃止に関する法律案","議員","税制"
"217-14","SO060","政治資金規正法の一部を改正する法律案","議員","その他"
"217-15","SO061","地震防災対策強化地域における地震対策緊急整備事業に係る国の財政上の特別措置に関する法律の一部を改正する法律案","議員","その他"
"217-16","SO062","半島振興法の一部を改正する法律案","議員","その他"
"217-17","SO063","地域人口の急減に対処するための特定地域づくり事業の推進に関する法律の一部を改正する法律案","議員","その他"
"217-18","SO064","議院に出頭する証人等の旅費及び日当に関する法律の一部を改正する法律案","議員","その他"
"217-19","SO065","棚田地域振興法の一部を改正する法律案","議員","その他"
"217-20","SO066","山村振興法の一部を改正する法律案","議員","その他"
"217-21","SC011","政治資金規正法及び租税特別措置法の一部を改正する法律案","議員","税制"
"217-22","SO067","子ども・子育て支援法等の一部を改正する法律案","議員","その他"
"217-23","SC012","若者の就労所得に係る所得税の負担を軽減するための所得控除の拡充に関し講ずべき措置に関する法律案","議員","税制"
"217-24","SO068","ライドシェア事業に係る制度の導入に関する法律案","議員","その他"
"217-25","SO069","外国為替資金特別会計の在り方の見直しに関する法律案","議員","その他"
"217-26","SC013","租税特別措置法及び東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律の一部を改正する法律案","議員","税制"
"217-27","SC014","地方税法の一部を改正する法律案","議員","税制"
"217-28","SO070","国会法及び議院における証人の宣誓及び証言等に関する法律の一部を改正する法律案","議員","その他"
"217-29","SO071","民法の一部を改正する法律案","議員","その他"
"217-30","SO072","婚姻前の氏の通称使用に関する法律案","議員","その他"
"217-31","SO073","自動車盗難対策等の推進に関する法律案","議員","その他"
"217-32","SO074","組織的な犯罪の処罰及び犯罪収益の規制等に関する法律及び刑事訴訟法の一部を改正する法律案","議員","その他"
"217-33","SO075","貨物自動車運送事業法の一部を改正する法律案","議員","その他"
"217-34","SO076","貨物自動車運送事業の適正化のための体制の整備等の推進に関する法律案","議員","その他"
"217-35","SO077","民法の一部を改正する法律案","議員","その他"
"217-36","SO078","行政書士法の一部を改正する法律案","議員","その他"
"217-37","SO079","ギャンブル等依存症対策基本法の一部を改正する法律案","議員","その他"
