Bill_Number,Title,Status,Category,Diet_Session,House_Of_Origin,Bill_Type,Diet_URL,Summary,Submitted_Date,Created_At,Updated_At
217-1,所得税法等の一部を改正する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217001.htm,,,2025-07-15T02:25:21.505181,2025-07-15T02:25:21.505184
217-2,地方税法及び地方税法等の一部を改正する法律の一部を改正する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217002.htm,,,2025-07-15T02:25:21.505192,2025-07-15T02:25:21.505193
217-3,地方交付税法等の一部を改正する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217003.htm,,,2025-07-15T02:25:21.505200,2025-07-15T02:25:21.505201
217-4,重要電子計算機に対する不正な行為による被害の防止に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217004.htm,,,2025-07-15T02:25:21.505207,2025-07-15T02:25:21.505208
217-5,重要電子計算機に対する不正な行為による被害の防止に関する法律の施行に伴う関係法律の整備等に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217005.htm,,,2025-07-15T02:25:21.505213,2025-07-15T02:25:21.505214
217-6,関税定率法等の一部を改正する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217006.htm,,,2025-07-15T02:25:21.505220,2025-07-15T02:25:21.505221
217-7,国際開発協会への加盟に伴う措置に関する法律及び米州投資公社への加盟に伴う措置に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217007.htm,,,2025-07-15T02:25:21.505226,2025-07-15T02:25:21.505227
217-8,大学等における修学の支援に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217008.htm,,,2025-07-15T02:25:21.505232,2025-07-15T02:25:21.505233
217-9,公立の義務教育諸学校等の教育職員の給与等に関する特別措置法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217009.htm,,,2025-07-15T02:25:21.505239,2025-07-15T02:25:21.505239
217-10,戦没者等の遺族に対する特別弔慰金支給法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217010.htm,,,2025-07-15T02:25:21.505245,2025-07-15T02:25:21.505246
217-11,情報処理の促進に関する法律及び特別会計に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217011.htm,,,2025-07-15T02:25:21.505251,2025-07-15T02:25:21.505252
217-12,道路法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217012.htm,,,2025-07-15T02:25:21.505257,2025-07-15T02:25:21.505258
217-13,港湾法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217013.htm,,,2025-07-15T02:25:21.505263,2025-07-15T02:25:21.505264
217-14,裁判所職員定員法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217014.htm,,,2025-07-15T02:25:21.505272,2025-07-15T02:25:21.505273
217-15,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217015.htm,,,2025-07-15T02:25:21.505278,2025-07-15T02:25:21.505278
